Symbol,Description,Category,Score
SGPL1,Sphingosine-1-Phosphate Lyase 1,Protein Coding,27.12
APOE,Apolipoprotein E,Protein Coding,27.1
EIF4E,Eukaryotic Translation Initiation Factor 4E,Protein Coding,27.06
PTPN6,Protein Tyrosine Phosphatase Non-Receptor Type 6,Protein Coding,27.06
AKR1B10,Aldo-Keto Reductase Family 1 Member B10,Protein Coding,27.04
MYCN,"MYCN Proto-Oncogene, BHLH Transcription Factor",Protein Coding,27.02
ENDOG,Endonuclease G,Protein Coding,27.02
H3C12,H3 Clustered Histone 12,Protein Coding,27
HAVCR2,Hepatitis A Virus Cellular Receptor 2,Protein Coding,26.99
H3-3B,H3.3 Histone B,Protein Coding,26.99
EIF4A1,Eukaryotic Translation Initiation Factor 4A1,Protein Coding,26.99
MS4A12,Membrane Spanning 4-Domains A12,Protein Coding,26.99
FH,Fumarate Hydratase,Protein Coding,26.99
ITGAM,Integrin Subunit Alpha M,Protein Coding,26.96
SPRY2,Sprouty RTK Signaling Antagonist 2,Protein Coding,26.95
NOS3,Nitric Oxide Synthase 3,Protein Coding,26.95
H3-4,"H3.4 Histone, Cluster Member",Protein Coding,26.95
EPO,Erythropoietin,Protein Coding,26.94
KDM3A,Lysine Demethylase 3A,Protein Coding,26.93
H3-5,H3.5 Histone,Protein Coding,26.93
H3C13,H3 Clustered Histone 13,Protein Coding,26.92
H3-7,H3.7 Histone (Putative),Protein Coding,26.92
GSTA1,Glutathione S-Transferase Alpha 1,Protein Coding,26.9
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,26.89
NDRG2,NDRG Family Member 2,Protein Coding,26.89
KLK6,Kallikrein Related Peptidase 6,Protein Coding,26.88
PLD2,Phospholipase D2,Protein Coding,26.87
HP,Haptoglobin,Protein Coding,26.87
GLI3,GLI Family Zinc Finger 3,Protein Coding,26.85
FUT2,Fucosyltransferase 2,Protein Coding,26.84
TAGLN,Transgelin,Protein Coding,26.84
BMP7,Bone Morphogenetic Protein 7,Protein Coding,26.79
RPS27A,Ribosomal Protein S27a,Protein Coding,26.78
CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,26.78
CRK,"CRK Proto-Oncogene, Adaptor Protein",Protein Coding,26.78
FOXO4,Forkhead Box O4,Protein Coding,26.77
PRDX1,Peroxiredoxin 1,Protein Coding,26.74
HIPK2,Homeodomain Interacting Protein Kinase 2,Protein Coding,26.73
PEBP1,Phosphatidylethanolamine Binding Protein 1,Protein Coding,26.72
G6PD,Glucose-6-Phosphate Dehydrogenase,Protein Coding,26.71
ALDOA,"Aldolase, Fructose-Bisphosphate A",Protein Coding,26.66
LAG3,Lymphocyte Activating 3,Protein Coding,26.64
XPA,"XPA, DNA Damage Recognition And Repair Factor",Protein Coding,26.61
QKI,"QKI, KH Domain Containing RNA Binding",Protein Coding,26.6
IDO1,"Indoleamine 2,3-Dioxygenase 1",Protein Coding,26.58
CCNL2,Cyclin L2,Protein Coding,26.57
GPX3,Glutathione Peroxidase 3,Protein Coding,26.57
UPP1,Uridine Phosphorylase 1,Protein Coding,26.55
PDPK1,3-Phosphoinositide Dependent Protein Kinase 1,Protein Coding,26.55
TP63,Tumor Protein P63,Protein Coding,26.54
GOT2,Glutamic-Oxaloacetic Transaminase 2,Protein Coding,26.52
FES,"FES Proto-Oncogene, Tyrosine Kinase",Protein Coding,26.51
CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,26.51
SELENOP,Selenoprotein P,Protein Coding,26.49
SND1,Staphylococcal Nuclease And Tudor Domain Containing 1,Protein Coding,26.49
CHKA,Choline Kinase Alpha,Protein Coding,26.48
SPHK2,Sphingosine Kinase 2,Protein Coding,26.46
FYN,"FYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,26.46
ROCK2,Rho Associated Coiled-Coil Containing Protein Kinase 2,Protein Coding,26.46
TKTL1,Transketolase Like 1,Protein Coding,26.46
IL17A,Interleukin 17A,Protein Coding,26.45
ITGA1,Integrin Subunit Alpha 1,Protein Coding,26.44
NKX2-1,NK2 Homeobox 1,Protein Coding,26.44
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,26.4
PTPRR,Protein Tyrosine Phosphatase Receptor Type R,Protein Coding,26.4
FUT6,Fucosyltransferase 6,Protein Coding,26.39
RORA,RAR Related Orphan Receptor A,Protein Coding,26.36
ITGB6,Integrin Subunit Beta 6,Protein Coding,26.34
KHDRBS1,"KH RNA Binding Domain Containing, Signal Transduction Associated 1",Protein Coding,26.33
VDR,Vitamin D Receptor,Protein Coding,26.32
LTF,Lactotransferrin,Protein Coding,26.31
NANOG,Nanog Homeobox,Protein Coding,26.31
CD24,CD24 Molecule,Protein Coding,26.21
TCHP,Trichoplein Keratin Filament Binding,Protein Coding,26.15
HMGA1,High Mobility Group AT-Hook 1,Protein Coding,26.15
ALDOB,"Aldolase, Fructose-Bisphosphate B",Protein Coding,26.15
PRKAB1,Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 1,Protein Coding,26.1
POU5F1,POU Class 5 Homeobox 1,Protein Coding,26.08
ADAM9,ADAM Metallopeptidase Domain 9,Protein Coding,26.02
SLC25A16,Solute Carrier Family 25 Member 16,Protein Coding,25.98
FZD9,Frizzled Class Receptor 9,Protein Coding,25.97
